Country,Happiness Rank
Denmark,1
Switzerland,2
Iceland,3
Norway,4
Finland,5
Canada,6
Netherlands,7
New Zealand,8
Australia,9
Sweden,10
Israel,11
Austria,12
United States,13
Costa Rica,14
Puerto Rico,15
Germany,16
Brazil,17
Belgium,18
Ireland,19
Luxembourg,20
Mexico,21
Singapore,22
United Kingdom,23
Chile,24
Panama,25
Argentina,26
Czech Republic,27
United Arab Emirates,28
Uruguay,29
Malta,30
Colombia,31
France,32
Thailand,33
Saudi Arabia,34
Taiwan,34
Qatar,36
Spain,37
Algeria,38
Guatemala,39
Suriname,40
Kuwait,41
Bahrain,42
Trinidad and Tobago,43
Venezuela,44
Slovakia,45
El Salvador,46
Malaysia,47
Nicaragua,48
Uzbekistan,49
Italy,50
Ecuador,51
Belize,52
Japan,53
Kazakhstan,54
Moldova,55
Russia,56
Poland,57
South Korea,57
Bolivia,59
Lithuania,60
Belarus,61
North Cyprus,62
Slovenia,63
Peru,64
Turkmenistan,65
Mauritius,66
Libya,67
Latvia,68
Cyprus,69
Paraguay,70
Romania,71
Estonia,72
Jamaica,73
Croatia,74
Hong Kong,75
Somalia,76
Kosovo,77
Turkey,78
Indonesia,79
Jordan,80
Azerbaijan,81
Philippines,82
China,83
Bhutan,84
Kyrgyzstan,85
Serbia,86
Bosnia and Herzegovina,87
Montenegro,88
Dominican Republic,89
Morocco,90
Hungary,91
Pakistan,92
Lebanon,93
Portugal,94
Macedonia,95
Vietnam,96
Somaliland Region,97
Tunisia,98
Greece,99
Tajikistan,100
Mongolia,101
Laos,102
Nigeria,103
Honduras,104
Iran,105
Zambia,106
Nepal,107
Palestinian Territories,108
Albania,109
Bangladesh,110
Sierra Leone,111
Iraq,112
Namibia,113
Cameroon,114
Ethiopia,115
South Africa,116
Sri Lanka,117
India,118
Myanmar,119
Egypt,120
Armenia,121
Kenya,122
Ukraine,123
Ghana,124
Congo (Kinshasa),125
Georgia,126
Congo (Brazzaville),127
Senegal,128
Bulgaria,129
Mauritania,130
Zimbabwe,131
Malawi,132
Sudan,133
Gabon,134
Mali,135
Haiti,136
Botswana,137
Comoros,138
Ivory Coast,139
Cambodia,140
Angola,141
Niger,142
South Sudan,143
Chad,144
Burkina Faso,145
Uganda,145
Yemen,147
Madagascar,148
Tanzania,149
Liberia,150
Guinea,151
Rwanda,152
Benin,153
Afghanistan,154
Togo,155
Syria,156
Burundi,157
